block,plot,plant_num,spp_mix,plot_type,mix_type,species1,species2,mass_Sp,mass,bag_wt,true_wt,th,cd_fr,bc_ram_num,stem_num,leaf_num,sh,alive
1,20,1,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,9.72,5.43,4.29,65,17,5,3,18,0,Y
1,20,2,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,8.61,5.43,3.18,53,28,3.5,2,16,0,Y
1,20,3,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,7.77,5.43,2.34,57,16,5,2,14,0,Y
1,20,4,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,9.8,5.43,4.37,61,26,6,3,22,0,Y
1,20,5,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,9.51,5.43,4.08,55.5,24,7,4,32,0,Y
1,20,6,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,12.52,5.43,7.09,71,20,4.5,2,24,0,Y
1,20,7,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,8.05,5.43,2.62,52,22,4,2,15,0,Y
1,20,8,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,10.45,5.43,5.02,70,21,3.5,1,11,0,Y
1,20,9,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,12.54,5.43,7.11,67,28,7,3,29,0,Y
1,20,10,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,12.45,5.43,7.02,71,25,5,2,23,0,Y
1,20,NA,HIMO,MONO,MONO_B,HIMO,HIMO,TYPHA,350.85,41.73,309.12,NA,NA,NA,34,NA,NA,Y
1,21,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,TYPHA,342.85,41.73,301.12,NA,NA,NA,35,NA,NA,NA
1,21,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,PEVI,42.98,41.73,1.25,NA,NA,NA,NA,NA,NA,NA
1,21,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,SCCY,110.75,41.73,69.02,NA,NA,NA,NA,NA,NA,NA
1,22,NA,SCCY-JUEF,MIXED,PA,SCCY,JUEF,TYPHA,428.13,41.73,386.4,NA,NA,NA,60,NA,NA,NA
1,22,NA,SCCY-JUEF,MIXED,PA,SCCY,JUEF,JUEF,83.68,41.73,41.95,NA,NA,NA,NA,NA,NA,NA
1,22,NA,SCCY-JUEF,MIXED,PA,SCCY,JUEF,SCCY,115.6,41.73,73.87,NA,NA,NA,NA,NA,NA,NA
1,23,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,TYPHA,386.67,41.73,344.94,NA,NA,NA,52,NA,NA,NA
1,23,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,PEVI,44.83,41.73,3.1,NA,NA,NA,NA,NA,NA,NA
1,23,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,SCCY,184.44,41.73,142.71,NA,NA,NA,NA,NA,NA,NA
1,24,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,TYPHA,480.11,41.73,438.38,NA,NA,NA,53,NA,NA,NA
